analysis_unit_id,data_year,community_area_num,community_area_name,police_district_num,boundary_group,boundary_definition,longitude,latitude,coordinate_method,intersection_area_km2,community_area_km2,area_share_of_community_raw,allocation_share_normalized,distance_to_police_boundary_km,within_1km_of_boundary,crime_count,violent_crime_count,property_crime_count,weapons_crime_count,narcotics_crime_count,other_crime_count,arrest_count,domestic_count,with_coordinates_count,missing_coordinates_count,unique_primary_type_count,population_est_area_weighted,families_est_area_weighted,log_population_offset,crime_rate_per_1000_est,population_density_per_km2_est,low_income_family_share_community,black_share_community,hispanic_share_community,white_non_hispanic_share_community,child_share_community,senior_share_community,acs_year,model_include_recommended,model_exclusion_reason,boundary_geometry_snapshot_note,source_url
CA01_D24,2023,1,ROGERS PARK,24,D24,City of Chicago current police district polygon; cross-district pairs are different-side pairs,-87.67016783599325,42.0096178313866,center_of_mass,4.752626,4.754845,0.99953327,1,0.802071,1,4648,1364,2837,48,63,336,625,642,4612,36,23,53169,9763,10.8812308,87.4194,11187.289,0.10632,0.255826,0.199345,0.435555,0.174369,0.111305,2023,1,,Official current police district boundaries downloaded 2026-07-15; not a historical 2023 boundary archive,https://data.cityofchicago.org/Public-Safety/Crimes-2001-to-Present/ijzp-q8t2
CA02_D20,2023,2,WEST RIDGE,20,D20,City of Chicago current police district polygon; cross-district pairs are different-side pairs,-87.6947226179488,41.987248949808375,center_of_mass,1.24244,9.130306,0.13607874,0.13660191,0.358099,1,451,136,279,3,10,23,67,63,448,3,18,10821.603,2462.659,9.2892997,41.6759,8709.96,0.11582,0.117521,0.221295,0.39745,0.271851,0.136986,2023,1,,Official current police district boundaries downloaded 2026-07-15; not a historical 2023 boundary archive,https://data.cityofchicago.org/Public-Safety/Crimes-2001-to-Present/ijzp-q8t2
CA02_D24,2023,2,WEST RIDGE,24,D24,City of Chicago current police district polygon; cross-district pairs are different-side pairs,-87.6943523033152,42.00385850152106,center_of_mass,7.852897,9.130306,0.86009139,0.86339809,1.239866,0,3578,1046,2199,37,30,266,318,575,3551,27,22,68398.397,15565.341,11.13310467,52.3112,8709.957,0.11582,0.117521,0.221295,0.39745,0.271851,0.136986,2023,1,,Official current police district boundaries downloaded 2026-07-15; not a historical 2023 boundary archive,https://data.cityofchicago.org/Public-Safety/Crimes-2001-to-Present/ijzp-q8t2
CA03_D19,2023,3,UPTOWN,19,D19,City of Chicago current police district polygon; cross-district pairs are different-side pairs,-87.65406616859866,41.962579638142685,center_of_mass,4.090724,6.038284,0.67746456,0.67955524,0.724897,1,3197,961,2005,24,32,175,402,360,3171,26,24,35794.893,6223.367,10.4855605,89.3144,8750.259,0.150579,0.205946,0.143486,0.520883,0.120781,0.104985,2023,1,,Official current police district boundaries downloaded 2026-07-15; not a historical 2023 boundary archive,https://data.cityofchicago.org/Public-Safety/Crimes-2001-to-Present/ijzp-q8t2
CA03_D20,2023,3,UPTOWN,20,D20,City of Chicago current police district polygon; cross-district pairs are different-side pairs,-87.65992661005205,41.97270978367947,center_of_mass,1.928984,6.038284,0.3194589,0.32044476,0.410135,1,1416,447,871,8,10,80,172,132,1402,14,19,16879.107,2934.633,9.73383189,83.8907,8750.258,0.150579,0.205946,0.143486,0.520883,0.120781,0.104985,2023,1,,Official current police district boundaries downloaded 2026-07-15; not a historical 2023 boundary archive,https://data.cityofchicago.org/Public-Safety/Crimes-2001-to-Present/ijzp-q8t2
CA04_D19,2023,4,LINCOLN SQUARE,19,D19,City of Chicago current police district polygon; cross-district pairs are different-side pairs,-87.6858364986456,41.965184346955425,center_of_mass,1.568462,6.618688,0.23697479,0.23697489,0.386087,1,690,169,487,1,5,28,54,42,685,5,16,9995.601,2214.056,9.20990034,69.0304,6372.868,0.06165,0.038478,0.197037,0.611095,0.169298,0.099597,2023,1,,Official current police district boundaries downloaded 2026-07-15; not a historical 2023 boundary archive,https://data.cityofchicago.org/Public-Safety/Crimes-2001-to-Present/ijzp-q8t2
CA04_D20,2023,4,LINCOLN SQUARE,20,D20,City of Chicago current police district polygon; cross-district pairs are different-side pairs,-87.68803676612985,41.97827263774772,center_of_mass,5.050223,6.618688,0.7630248,0.76302511,1.071673,0,1528,456,955,10,23,84,211,184,1522,6,22,32184.399,7128.944,10.37923711,47.4764,6372.867,0.06165,0.038478,0.197037,0.611095,0.169298,0.099597,2023,1,,Official current police district boundaries downloaded 2026-07-15; not a historical 2023 boundary archive,https://data.cityofchicago.org/Public-Safety/Crimes-2001-to-Present/ijzp-q8t2
CA05_D19,2023,5,NORTH CENTER,19,D19,City of Chicago current police district polygon; cross-district pairs are different-side pairs,-87.68383516350596,41.94779236222185,center_of_mass,5.292402,5.292411,0.99999846,1,1.027929,0,1498,311,1087,6,5,89,88,126,1486,12,21,35782,8598,10.48520026,41.8646,6761.013,0.041289,0.02532,0.126209,0.730423,0.261808,0.074535,2023,1,,Official current police district boundaries downloaded 2026-07-15; not a historical 2023 boundary archive,https://data.cityofchicago.org/Public-Safety/Crimes-2001-to-Present/ijzp-q8t2
CA06_D19,2023,6,LAKE VIEW,19,D19,City of Chicago current police district polygon; cross-district pairs are different-side pairs,-87.65604674399361,41.94422701059949,center_of_mass,8.070983,8.090102,0.99763674,1,1.219382,0,6568,1398,4821,19,22,308,465,355,6530,38,27,90652,14856,11.41478328,72.4529,11231.841,0.042205,0.043165,0.099049,0.747739,0.125855,0.082337,2023,1,,Official current police district boundaries downloaded 2026-07-15; not a historical 2023 boundary archive,https://data.cityofchicago.org/Public-Safety/Crimes-2001-to-Present/ijzp-q8t2
CA07_D18,2023,7,LINCOLN PARK,18,D18,City of Chicago current police district polygon; cross-district pairs are different-side pairs,-87.64612908597759,41.918600702372125,center_of_mass,5.007247,8.192315,0.61121268,0.61177885,0.766609,1,2135,426,1600,15,11,83,124,99,2116,19,22,37971.278,6822.558,10.5445853,56.2267,7583.264,0.027708,0.036783,0.068861,0.790726,0.155348,0.093882,2023,1,,Official current police district boundaries downloaded 2026-07-15; not a historical 2023 boundary archive,https://data.cityofchicago.org/Public-Safety/Crimes-2001-to-Present/ijzp-q8t2
